品牌,門市名稱,座標,地址,營業時間
85度C,85度C台中沙鹿店,"24.2420688,120.560941",台中市沙鹿區中山路417號,07:00~22:00
85度C,85度C沙鹿英才店,"24.2269409,120.5748725",台中市沙鹿區英才路12號,07:00~23:00
85度C,85度C全興明志店,"25.058568102613744, 121.43091291751585",新北市泰山區明志路1段346號1樓,07:00~23:00
85度C,85度C淡水中山店,"25.1778934,121.442784",新北市淡水區中山北路一段149巷15號,07:00~23:00
85度C,85度C台中清水店,"24.2722359,120.577073",台中市清水區北寧街82號,06:30~23:00
85度C,85度C湖口忠孝店,"24.9010111,121.0445446",新竹縣湖口鄉忠孝路17號,星期一~星期五07:00~22:00星期六、星期日、國定假日7:30~22:00
85度C,85度C湖口中華店,"24.8722762,121.0101476",新竹縣湖口鄉中華路24號,06:30~22:00
85度C,85度C溪湖平和店,"23.9558829,120.4794599",彰化縣溪湖鎮平和街153號,07:00~22:30
85度C,85度C台中潭子店,"24.2120103,120.7004407",台中市潭子區勝利路219號,07:30~23:00
85度C,85度C潭子中山店,"24.194342,120.702678",台中市潭子區中山路一段298-21號,07:00~21:00
85度C,85度C烏日中山店,"24.1064073,120.6248991",台中市烏日區中山路二段154號,06:00~23:00
85度C,85度C台中成功嶺店,"24.1133729,120.6010889",台中市烏日區中山路3段502號,早上07:00~晚上20:00 週六、日休息 
85度C,85度C烏日明道店,"24.1087178,120.6415806",台中市烏日區中山路一段321號,07:00~23:00
85度C,85度C花蓮玉里店,"23.3288256,121.3167411",花蓮縣玉里鎮中山路一段100號,07:00~21:00
85度C,85度C瑞芳明燈店,"25.1078281,121.8072204",新北市瑞芳區明燈路三段35號,07:00~22:30
85度C,85度C彰化田中店,"23.8609038,120.5827583",彰化縣田中鎮斗中路一段108號,07:00~22:00
85度C,85度C田尾中山店,"23.8874367,120.5245374",彰化縣田尾鄉中山路一段191號,07:00~22:00
85度C,85度C台南白河店,"23.3464993,120.4129351",台南市白河區中山路1-25號,06:30~22:00
85度C,85度C白河南測店 營區店，不對外營業 ,"23.3967598,120.4439809",台南市白河區內角里2號,07:00~21:00
85度C,85度C彰化社頭店,"23.8992685,120.588648",彰化縣社頭鄉清水岩路400號,07:00~23:00
85度C,85度C神岡中山店,"24.24960266722369, 120.67827884743903",台中市神岡區中山路747號1樓,07:00~23:00
85度C,85度C花蓮秀林店,"24.156544151607914, 121.6502166439092",花蓮縣秀林鄉95-5號,08:00~21:00
85度C,85度C彰化秀水店,"24.0371029,120.50191",彰化縣秀水鄉彰水路1段117號,07:00~22:30
85度C,85度C竹北福興店,"24.8180088,121.0233423",新竹縣竹北市福興東路一段302號,07:00~22:00
85度C,85度C竹北博愛店,"24.8350341,121.0145461",新竹縣竹北市中正東路219號,07:30~21:00
85度C,85度C竹北台元店,"24.8416372,121.0177126",新竹縣竹北市台元一街7號,08:00~20:00 六日休息 
85度C,85度C竹南龍山店,"24.6960156,120.8683819",苗栗縣竹南鎮龍昇街2號,07:00~22:30
85度C,85度C竹南大埔店,"24.712591,120.9066219",苗栗縣竹南鎮大埔街146號,07:00~22:00
85度C,85度C竹南光復店,"24.6877315,120.8793426",苗栗縣竹南鎮光復路172號,06:30~22:00
85度C,85度C南投竹山店,"23.7580055,120.6866582",南投縣竹山鎮昭德街18號,07:00~22:00
85度C,85度C嘉義竹崎店,"23.5166296,120.5482188",嘉義縣竹崎鄉和平村田寮64號,07:00~22:00
85度C,85度C竹東中豐店,"24.7218704,121.0958535",新竹縣竹東鎮中豐路二段21號,07:00~21:30
85度C,85度C竹東長春店,"24.7447172,121.082419",新竹縣竹東鎮長春路3段227號,07:30~21:30
85度C,85度C羅東北成店,"24.6782193,121.760129",宜蘭縣羅東鎮四育路79號,7:00~23:00
85度C,85度C羅東民權店,"24.6764988,121.7664232",宜蘭縣羅東鎮民權路138號,06:45~23:00
85度C,85度C羅東站前店,"24.6781726,121.7724373",宜蘭縣羅東鎮公正路78號,24小時
85度C,85度C羅東光榮店,"24.6744682,121.7780413",宜蘭縣羅東鎮中山路二段337-1號,07:00~23:00
85度C,85度C羅東南門店,"24.6727524,121.7696137",宜蘭縣羅東鎮南門路15號,24小時
85度C,85度C台東更生店,"22.7677803,121.1363284",台東縣臺東市更生路735號,07:00~23:00
85度C,85度C台東中華店,"22.753598,121.1526405",台東縣臺東市中華路一段401號,週日~週四：早上07:30~晚上22:30；週五~週六：早上07:30~晚上23:00
85度C,85度C彰化芬園店,"24.0197715,120.6261372",彰化縣芬園鄉彰南路四段449號,07:00~23:00
85度C,85度C彰化花壇店,"24.0237496,120.5412545",彰化縣花壇鄉中山路一段373號,07:00~22:00
85度C,85度C花蓮和平店,"23.9762389,121.601858",花蓮縣花蓮市和平路460號,07:00~23:00
85度C,85度C花蓮林森店,"23.98074859,121.6046688",花蓮縣花蓮市林森路212號,07:00~22:00
85度C,85度C苑裡中山店,"24.4421238,120.6513682",苗栗縣苑裡鎮中山路116號,07:00~22:30
85度C,85度C苗栗為公店,"24.5715954,120.8305586",苗栗縣苗栗市為公路309號,07:00~22:00
85度C,85度C苗栗中正店,"24.551637,120.816093",苗栗縣苗栗市中正路905號,07:00~22:30
85度C,85度C苗栗府東店,"24.562819,120.821517",苗栗縣苗栗市府東路91號,07:00~22:00
85度C,85度C高雄茄萣店,"22.9056605,120.1834146",高雄市茄萣區茄萣路二段381號,07:00~21:00
85度C,85度C草屯中山店,"23.9778562,120.6830004",南投縣草屯鎮碧山路159-1號,07:00~23:00
85度C,85度C草屯虎山店,"23.972661,120.6863218",南投縣草屯鎮虎山路652號,07:00~22:30
85度C,85度C雲林莿桐店,"23.7594779,120.4987532",雲林縣莿桐鄉西安路33號,06:30~22:00
85度C,85度C屏東萬丹店,"22.5903323,120.4889503",屏東縣萬丹鄉萬全村萬丹路一段293號,07:00~23:00
85度C,85度C台北西門店,"25.0416534,121.5072783",台北市萬華區漢中街151號,平日早上07:30~晚上21:50，假日早上08:00~晚上10:50
85度C,85度C萬華廣州店,"25.0367338,121.5002618",台北市萬華區廣州街207號,06:00~24:00
85度C,85度C台北寶興店,"25.0258841,121.4942945",台北市萬華區寶興街92號,24小時
85度C,85度C萬里野柳店,"25.2039453,121.6878662",新北市萬里區港東路65-1號,07:00~19:00
85度C,85度C蘆洲復興店,"25.0870836,121.475605",新北市蘆洲區復興路21號,07:00~23:00
85度C,85度C蘆洲長安店,"25.082598679315687, 121.45957742047713",新北市蘆洲區長安街225號1樓,07:30~23:00
85度C,85度C蘆洲光華店,"25.0821883,121.4651502",新北市蘆洲區光華路174號,07:00~23:00
85度C,85度C蘆竹海山店,"25.085709,121.2863003",桃園市蘆竹區海山路2號,06:30~22:00
85度C,85度C南崁南竹店,"25.0468682,121.2914387",桃園市蘆竹區南竹路一段41號,06:00~22:00
85度C,85度C桃園福竹店,"25.0223123,121.2614155",桃園市蘆竹區大竹路495號,07:00~23:00
85度C,85度C宜蘭蘇澳店,"24.5960604,121.8527627",宜蘭縣蘇澳鎮中山路一段17號,07:00~21:00
85度C,85度C雲林虎尾店,"23.7106733,120.4350154",雲林縣虎尾鎮林森路一段430號,07:00~22:00
85度C,85度C台中英才店,"24.1524123,120.6659053",台中市西區英才路462號,07:00~22:30
85度C,85度C嘉義友愛店,"23.480854,120.4338374",嘉義市西區友愛路161號,06:30~23:00
85度C,85度C嘉義世賢店,"23.4616891,120.4436192",嘉義市西區世賢路四段120號,06:30~22:30
85度C,85度C嘉義站前店,"23.4785412,120.4419854",嘉義市西區仁愛路578-1號,07:00~22:30
85度C,85度C台中西屯店,"24.185934,120.623539",台中市西屯區西屯路3段148-43號,07:00~23:00
85度C,85度C台中青海店,"24.1655542,120.6530693",台中市西屯區青海路一段172號,06:30~22:00
85度C,85度C台中友達店,"24.2073537,120.6144545",台中市西屯區中科路1號,週一至五07:00~20:00週六至週日10:00~19:00
85度C,85度C台中河南店,"24.1749608,120.6487646",台中市西屯區河南路二段282號,07:00~24:00
85度C,85度C台中漢口店,"24.1665348,120.6640358",台中市西屯區漢口路二段219號,07:00~24:00
85度C,85度C西螺中山店,"23.7999573,120.4620997",雲林縣西螺鎮中山路99-1號,07:00~22:00
85度C,85度C觀音成功店,"25.0547793,121.1234451",桃園市觀音區成功路一段583號,07:00~22:00
85度C,85度C觀音新坡店,"25.011788,121.1375146",桃園市觀音區新華路二段617號,06:00~22:15
85度C,85度C觀音草漯店,"25.0491209,121.1443508",桃園市觀音區大觀路一段562號,07:00~22:00
85度C,85度C豐原南陽店,"24.2474202,120.7239961",台中市豐原區南陽路436號,07:00~22:30
85度C,85度C豐原中興店,"24.246218232203567, 120.71099741475082",台中市豐原區中興路242-3號,07:00~23:00
85度C,85度C豐原廟東店,"24.2519605,120.7152671",台中市豐原區源豐路17號,06:30~23:30
85度C,85度C路竹忠孝店,"22.8603426,120.2594888",高雄市路竹區中山路935號,07:15~21:00
85度C,85度C苗栗通霄店,"24.4913479,120.6789336",苗栗縣通霄鎮中山路223號,07:00~22:00
85度C,85度C金門民族店,"24.43034646910403, 118.31544231310345",金門縣金城鎮民族路252號,07:30~21:00
85度C,85度C金山中山店,"25.2192997,121.6400025",新北市金山區中山路106號,07:00~21:00
85度C,85度C金門山外店,"24.440136128703223, 118.41464436531734",金門縣金湖鎮太湖路武德新莊5號,07:30~21:00
85度C,85度C銅鑼中正店,"24.486075,120.786832",苗栗縣銅鑼鄉中正路99號,早上07:00~晚上21:00
85度C,85度C台南關廟店,"22.9624377,120.3283332",台南市關廟區中正路969號,07:00~22:00
85度C,85度C關西正義店,"24.79369680599021, 121.17614510696673",新竹縣關西鎮明德路108號,週一~五：早上07:45~晚上21:00；週六、日：早上08:00~晚上21:00
85度C,85度C霧峰吉峰店,"24.0764475,120.7080566",台中市霧峰區吉峰路100號,07:00~22:00
85度C,85度C頭份建國店,"24.6943772,120.9124156",苗栗縣頭份市建國路66-2號,06:30~22:00
85度C,85度C頭份中正店,"24.6844506,120.9074262",苗栗縣頭份市中正路76號,07:00~22:00
85度C,85度C頭份中央店,"24.6935557,120.899526",苗栗縣頭份市中央路400號,06:30~22:00
85度C,85度C頭城青雲店,"24.8565221,121.824643",宜蘭縣頭城鎮青雲路三段128號,"週一~週五：早上07:30~晚上20:30；週六:早上07:30~21:00,週日：早上07:30~晚上20:30"
85度C,85度C新竹中山店,"24.797958734995387, 120.95604981377564",新竹市香山區中山路550號1樓,07:00~21:30
85度C,85度C新竹中華店,"24.7891036,120.9301529",新竹市香山區中華路4段568號,07:00~22:00
85度C,85度C鳳山中山店,"22.6283343,120.3439703",高雄市鳳山區中山西路306號,週一~週四08:00~24:00週五~週六08:00~01:00週日08:00~24:30
85度C,85度C鳳山五甲店,"22.5962847,120.3333588",高雄市鳳山區五甲二路493號,06:30~23:00
85度C,85度C鳳山文龍店,"22.6426022,120.3550368",高雄市鳳山區文龍東路692號,06:30~23:00
85度C,85度C鶯歌鶯桃店,"24.9691277,121.3292484",新北市鶯歌區鶯桃路656號,07:00~23:30
85度C,85度C鶯歌國慶店,"24.953840628279217, 121.35076923506385",新北市鶯歌區建國路154號,早上06:45~晚上22:00 星期一~六 /早上7:15~22:00 星期日 
85度C,85度C台南鹽水店,"23.3112036,120.2727619",台南市鹽水區忠孝路110號,06:30~22:00
85度C,85度C鹿港鹿和店,"24.08439930521613, 120.47809631207097",彰化縣鹿港鎮鹿和路三段523.525號,07:00~23:00
85度C,85度C鹿港中正店,"24.0568116,120.439972",彰化縣鹿港鎮中正路299號,07:00~22:00
85度C,85度C彰濱秀傳店,"24.078153950132805, 120.41135715521578",彰化縣鹿港鎮鹿工路6號,週一~週五：早上08:00~晚上21:00；週六：早上08:00~下午17:00；週日：早上08:00~下午16:30
85度C,85度C鹿港民族店,"24.0544361,120.434774",彰化縣鹿港鎮民族路153號,07:00~22:00
85度C,85度C雲林麥寮店,"23.750882,120.251266",雲林縣麥寮鄉中興路23號,06:30~22:00
85度C,85度C台南麻豆店,"23.1839053,120.2434593",台南市麻豆區中山路163號,07:00~22:00
85度C,85度C台中東海店,"24.181159767451103, 120.59147456045505",台中市龍井區新興路7巷2-1號 東海商圈內 ,周一~六:早上06:30~晚上22:30。周日:早上07:00~晚上22:30
85度C,85度C龍井中央店,"24.206438,120.5235891",台中市龍井區中央路二段128號,07:00~23:00
85度C,85度C龍潭北龍店,"24.8663974,121.2147148",桃園市龍潭區北龍路148號,06:15~22:30
85度C,85度C龍潭中正店,"24.8637929,121.2173273",桃園市龍潭區中正路237號,07:00~23:00
85度C,85度C龍潭龍平店,"24.88546760135263, 121.21242789704135",桃園市龍潭區中豐路590號1樓,06:30~22:30
85度C,85度C桃園萬壽店,"24.99393455150149, 121.33352745416337",桃園市龜山區陸光路一號,07:00~22:30
85度C,85度C林口長庚店,"25.0585734,121.366971",桃園市龜山區復興一路140號,07:00~24:00
85度C,85度C迴龍龍華店,"25.0174825,121.4028468",桃園市龜山區萬壽路一段302號,06:00~22:00
Cama,Cama長春復興店,"25.054685, 121.542652",臺北市中山區長春路366號,"週一～週五  7:30~16:00    
例假日  8:00~16:00"
Cama,Cama民生馬偕店,"25.058019, 121.523423",臺北市中山區民生東路一段12號,"週一~週五  7:30~18:00  
例假日  9:00~18:00"
Cama,Cama民生松江店,"25.058296, 121.532377",臺北市中山區民生東路二段133號,"週一～週五  7:30~18:00
週六~週日  8:00~17:30"
Cama,Cama大直植福店,"25.081107, 121.560873",臺北市中山區植福路308號,週一～週五  8:00～18:00
Cama,Cama中山農安店,"25.065270, 121.522684",臺北市中山區中山北路三段25-10號,"週一～週五  7:30~18:00    
例假日  9:00~18:00"
Cama,Cama八德台安店,"25.047975, 121.545850",臺北市松山區八德路二段358號,"週一~週五  07:30~17:00  
例假日  08:00~18:00"
Cama,Cama南京三民店,"25.051940, 121.561685",臺北市松山區南京東路五段141號,"週一～週五  7:30~19:30    
例假日  8:00~18:00"
Cama,Cama松山饒河店 捷運松山站二號出口 ,"25.050146, 121.576163",臺北市松山區八德路四段668號,"週一至週五  8:00-17:00
週日  9:00-17:00
每週六公休"
Cama,Cama民權復興店,"25.062039, 121.545551",臺北市松山區民權東路三段120號,"週一～週五  7:30~18:00  
例假日  8:00~17:30"
Cama,Cama森林公園店,"25.034042, 121.534317",臺北市大安區信義路三段25號,"平日    07:30~17:00    
假日    08:00~17:00"
Cama,Cama台北和平店,"25.024707, 121.546991",臺北市大安區和平東路三段6號,"週一~週五-  07:30-18:00
例假日-  08:00-18:00"
Cama,Cama台北東門店,"25.034539, 121.525839",臺北市大安區信義路二段52號,"平日  07:30~19:00  
假日  08:00~18:00"
Cama,Cama大安信義店,"25.033184, 121.542090",臺北市大安區信義路三段174號,"平日  07:30~19:00  
假日  08:30~17:00"
Cama,Cama台大新館店,"25.014854, 121.544356",臺北市大安區基隆路三段155巷57號,"週一～週五  7:00~18:00    
例假日：店休"
Cama,Cama台北敦南店,"25.032991, 121.549197",臺北市大安區敦化南路二段5號,"週一～週五  07:30-19:00
例假日  08:00-18:00"
Cama,Cama忠孝新生店,"25.040531, 121.532463",臺北市中正區新生南路一段90號,"週一~週五  7:30~19:00
例假日  8:00~18:00"
Cama,Cama台北小南門,"25.035703, 121.508135",臺北市中正區廣州街10號,"週一到週五  7:30~20:00
例假日    9:00-17:00"
Cama,Cama延平開封店,"25.046081, 121.510767",臺北市中正區延平南路15號,"週一～週五  7:30~18:00  
例假日  8:30~18:00"
Cama,Cama忠孝杭州店  經典 ,"25.043815, 121.526963",臺北市中正區杭州南路一段1號,"週一~週五  07:30-17:00
週六  08:00-1700  /  週日公休"
Cama,Cama台北承德店,"25.050921, 121.516750",臺北市大同區承德路一段30號,"週一~週五07:30  ~  17:30  
週六~週日08:00  ~  17:30"
Cama,Cama天母中山店,"25.103840, 121.524616",臺北市士林區中山北路六段41號,"平日  07:30~18:00    
假日  08:00~18:00"
Cama,Cama台北石牌店,"25.115851, 121.515947",臺北市北投區裕民四路3號1樓,週一~週日  07:00-16:00
Cama,Cama台北奇岩店,"25.126130, 121.500651",臺北市北投區北投路一段59號,"週一～週五  7:30~16:00    
例假日  9:00~17:00"
Cama,Cama台北和碩立德店B1 櫃號8 ,"25.127850, 121.472431",臺北市北投區立德路150-3號,"週一～週五  8:30～18:00    
例假日  公休"
